location,total_cases_per_million,total_deaths_per_million,total_vaccinations_per_million
Österreich,71914.194,1182.492,659300.0000000001
Belgien,92613.76699999999,2162.367,698400.0
Tschechien,155419.255,2820.2490000000003,581500.0
Dänemark,49898.804000000004,435.24,689000.0
Frankreich,85653.65400000001,1633.467,625200.0
Deutschland,44350.621,1069.322,692600.0
Liechtenstein,79240.632,1520.8329999999999,676000.0
Luxemburg,112373.31800000001,1306.759,649500.0
Niederlande,98923.056,1049.147,
Polen,75998.6,1964.8529999999998,614100.0
Schweiz,80742.79,1253.782,668400.0
