date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-02-25,Austria,0.222,0.222,
2020-02-26,Austria,0.0,0.222,
2020-02-27,Austria,0.111,0.33299999999999996,
2020-02-28,Austria,0.0,0.33299999999999996,
2020-02-29,Austria,0.6659999999999999,0.9990000000000001,
2020-03-01,Austria,0.555,1.554,
2020-03-02,Austria,0.444,1.999,
2020-03-03,Austria,0.33299999999999996,2.332,
2020-03-04,Austria,0.888,3.22,
2020-03-05,Austria,1.3319999999999999,4.552,
2020-03-06,Austria,1.554,6.107,
2020-03-07,Austria,2.665,8.772,
2020-03-08,Austria,2.7760000000000002,11.547,
2020-03-09,Austria,2.998,14.545,
2020-03-10,Austria,5.662999999999999,20.208,
2020-03-11,Austria,7.106,27.314,
2020-03-12,Austria,6.218,33.532,0.111
2020-03-13,Austria,22.428,55.96,0.111
2020-03-14,Austria,16.766,72.726,0.111
2020-03-15,Austria,22.761999999999997,95.488,0.111
2020-03-16,Austria,17.543,113.031,0.33299999999999996
2020-03-17,Austria,34.864000000000004,147.895,0.33299999999999996
2020-03-18,Austria,34.864000000000004,182.75900000000001,0.444
2020-03-19,Austria,40.749,223.50799999999998,0.6659999999999999
2020-03-20,Austria,41.637,265.145,0.6659999999999999
2020-03-21,Austria,47.3,312.444,0.888
2020-03-22,Austria,85.273,397.717,1.777
2020-03-23,Austria,99.041,496.75800000000004,2.332
2020-03-24,Austria,89.825,586.5830000000001,3.109
2020-03-25,Austria,33.865,620.448,3.3310000000000004
2020-03-26,Austria,146.673,767.1210000000001,5.441
2020-03-27,Austria,83.052,850.173,6.44
2020-03-28,Austria,68.17399999999999,918.347,7.55
2020-03-29,Austria,57.403999999999996,975.7510000000001,9.549
2020-03-30,Austria,92.15700000000001,1067.907,11.991
2020-03-31,Austria,62.4,1130.307,14.212
2020-04-01,Austria,58.958,1189.265,16.211
2020-04-02,Austria,46.411,1235.677,17.543
2020-04-03,Austria,43.858000000000004,1279.535,18.653
2020-04-04,Austria,28.535,1308.07,20.651999999999997
2020-04-05,Austria,29.979,1338.0479999999998,22.651
2020-04-06,Austria,27.314,1365.362,24.427
2020-04-07,Austria,37.973,1403.335,26.980999999999998
2020-04-08,Austria,33.643,1436.9779999999998,30.311999999999998
2020-04-09,Austria,33.532,1470.51,32.754
2020-04-10,Austria,34.531,1505.0410000000002,35.419000000000004
2020-04-11,Austria,27.869,1532.91,37.418
2020-04-12,Austria,15.433,1548.3429999999998,38.861
2020-04-13,Austria,10.659,1559.0020000000002,40.86
2020-04-14,Austria,20.541,1579.543,42.636
2020-04-15,Austria,12.214,1591.757,43.636
2020-04-16,Austria,15.545,1607.3010000000002,45.523
2020-04-17,Austria,13.213,1620.514,47.855
2020-04-18,Austria,8.437999999999999,1628.953,49.187
2020-04-19,Austria,8.661,1637.6129999999998,50.187
2020-04-20,Austria,5.107,1642.721,52.185
2020-04-21,Austria,8.661,1651.381,54.516999999999996
2020-04-22,Austria,5.774,1657.155,56.626000000000005
2020-04-23,Austria,8.549,1665.704,57.958999999999996
