date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-02-04,Belgium,0.086,0.086,
2020-02-05,Belgium,0.0,0.086,
2020-02-06,Belgium,0.0,0.086,
2020-02-07,Belgium,0.0,0.086,
2020-02-08,Belgium,0.0,0.086,
2020-02-09,Belgium,0.0,0.086,
2020-02-10,Belgium,0.0,0.086,
2020-02-11,Belgium,0.0,0.086,
2020-02-12,Belgium,0.0,0.086,
2020-02-13,Belgium,0.0,0.086,
2020-02-14,Belgium,0.0,0.086,
2020-02-15,Belgium,0.0,0.086,
2020-02-16,Belgium,0.0,0.086,
2020-02-17,Belgium,0.0,0.086,
2020-02-18,Belgium,0.0,0.086,
2020-02-19,Belgium,0.0,0.086,
2020-02-20,Belgium,0.0,0.086,
2020-02-21,Belgium,0.0,0.086,
2020-02-22,Belgium,0.0,0.086,
2020-02-23,Belgium,0.0,0.086,
2020-02-24,Belgium,0.0,0.086,
2020-02-25,Belgium,0.0,0.086,
2020-02-26,Belgium,0.0,0.086,
2020-02-27,Belgium,0.0,0.086,
2020-02-28,Belgium,0.0,0.086,
2020-02-29,Belgium,0.0,0.086,
2020-03-01,Belgium,0.086,0.17300000000000001,
2020-03-02,Belgium,0.518,0.69,
2020-03-03,Belgium,0.431,1.122,
2020-03-04,Belgium,0.863,1.985,
2020-03-05,Belgium,2.33,4.314,
2020-03-06,Belgium,5.091,9.405,
2020-03-07,Belgium,5.1770000000000005,14.582,
2020-03-08,Belgium,2.675,17.257,
2020-03-09,Belgium,3.365,20.622,
2020-03-10,Belgium,2.416,23.038,
2020-03-11,Belgium,4.055,27.093000000000004,0.259
2020-03-12,Belgium,0.0,27.093000000000004,0.259
2020-03-13,Belgium,21.14,48.233000000000004,0.259
2020-03-14,Belgium,11.217,59.45,0.345
2020-03-15,Belgium,16.998,76.44800000000001,0.345
2020-03-16,Belgium,14.841,91.289,0.431
2020-03-17,Belgium,15.963,107.251,0.863
2020-03-18,Belgium,20.967,128.218,1.208
2020-03-19,Belgium,26.662,154.88,1.8119999999999998
2020-03-20,Belgium,39.863,194.743,3.193
2020-03-21,Belgium,48.147,242.89,5.781000000000001
2020-03-22,Belgium,50.563,293.452,6.471
2020-03-23,Belgium,29.509,322.962,7.593
2020-03-24,Belgium,45.385,368.347,10.527000000000001
2020-03-25,Belgium,57.638000000000005,425.985,15.359000000000002
2020-03-26,Belgium,111.99700000000001,537.982,18.983
2020-03-27,Belgium,90.512,628.494,24.936
2020-03-28,Belgium,159.626,788.1189999999999,30.458000000000002
2020-03-29,Belgium,146.856,934.975,37.188
2020-03-30,Belgium,91.72,1026.695,44.263999999999996
2020-03-31,Belgium,75.585,1102.28,60.83
2020-04-01,Belgium,102.59200000000001,1204.872,71.443
2020-04-02,Belgium,119.417,1324.289,87.23299999999999
