date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-03-01,Czechia,0.28,0.28,
2020-03-02,Czechia,0.0,0.28,
2020-03-03,Czechia,0.187,0.467,
2020-03-04,Czechia,0.28,0.747,
2020-03-05,Czechia,0.374,1.121,
2020-03-06,Czechia,0.56,1.681,
2020-03-07,Czechia,0.09300000000000001,1.774,
2020-03-08,Czechia,1.121,2.895,
2020-03-09,Czechia,0.0,2.895,
2020-03-10,Czechia,0.934,3.8289999999999997,
2020-03-11,Czechia,4.669,8.498,
2020-03-12,Czechia,0.28,8.777999999999999,
2020-03-13,Czechia,4.388999999999999,13.167,
2020-03-14,Czechia,4.482,17.649,
2020-03-15,Czechia,5.976,23.625,
2020-03-16,Czechia,4.202,27.826999999999998,
2020-03-17,Czechia,9.151,36.978,
2020-03-18,Czechia,6.35,43.328,
2020-03-19,Czechia,21.476999999999997,64.805,
2020-03-20,Czechia,12.98,77.785,
2020-03-21,Czechia,15.127,92.913,
2020-03-22,Czechia,11.672,104.585,0.09300000000000001
2020-03-23,Czechia,10.832,115.417,0.09300000000000001
2020-03-24,Czechia,14.754000000000001,130.171,0.28
2020-03-25,Czechia,24.279,154.45,0.56
2020-03-26,Czechia,25.305999999999997,179.75599999999997,0.84
2020-03-27,Czechia,33.056,212.812,0.84
2020-03-28,Czechia,32.87,245.68200000000002,1.0270000000000001
2020-03-29,Czechia,17.369,263.05,1.494
2020-03-30,Czechia,17.182000000000002,280.232,2.148
2020-03-31,Czechia,28.668000000000003,308.9,2.895
2020-04-01,Czechia,18.676,327.575,3.642
2020-04-02,Czechia,32.683,360.25800000000004,4.109
2020-04-03,Czechia,21.756999999999998,382.01599999999996,4.949
2020-04-04,Czechia,35.578,417.593,5.5089999999999995
2020-04-05,Czechia,10.739,428.332,6.256
2020-04-06,Czechia,21.944000000000003,450.276,7.284
2020-04-07,Czechia,18.209,468.485,8.217
2020-04-08,Czechia,27.546999999999997,496.032,9.245
2020-04-09,Czechia,23.999000000000002,520.031,10.459000000000001
2020-04-10,Czechia,15.220999999999998,535.252,11.112
2020-04-11,Czechia,9.245,544.496,12.046
2020-04-12,Czechia,14.940999999999999,559.437,12.886
2020-04-13,Czechia,6.35,565.7869999999999,13.353
2020-04-14,Czechia,4.856,570.6419999999999,15.034
2020-04-15,Czechia,9.805,580.447,15.501
2020-04-16,Czechia,20.262999999999998,600.711,15.780999999999999
2020-04-17,Czechia,10.832,611.543,16.155
2020-04-18,Czechia,5.3229999999999995,616.865,16.902
2020-04-19,Czechia,13.073,629.938,17.369
