date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-02-02,Denmark,,,
2020-02-03,Denmark,,,
2020-02-04,Denmark,,,
2020-02-05,Denmark,,,
2020-02-06,Denmark,,,
2020-02-07,Denmark,,,
2020-02-08,Denmark,,,
2020-02-09,Denmark,,,
2020-02-10,Denmark,,,
2020-02-11,Denmark,,,
2020-02-12,Denmark,,,
2020-02-13,Denmark,,,
2020-02-14,Denmark,,,
2020-02-15,Denmark,,,
2020-02-16,Denmark,,,
2020-02-17,Denmark,,,
2020-02-18,Denmark,,,
2020-02-19,Denmark,,,
2020-02-20,Denmark,,,
2020-02-21,Denmark,,,
2020-02-22,Denmark,,,
2020-02-23,Denmark,,,
2020-02-24,Denmark,,,
2020-02-25,Denmark,,,
2020-02-26,Denmark,,,
2020-02-27,Denmark,0.17300000000000001,0.17300000000000001,
2020-02-28,Denmark,0.0,0.17300000000000001,
2020-02-29,Denmark,0.345,0.518,
2020-03-01,Denmark,0.17300000000000001,0.691,
2020-03-02,Denmark,0.0,0.691,
2020-03-03,Denmark,0.345,1.036,
2020-03-04,Denmark,0.863,1.899,
2020-03-05,Denmark,0.0,1.899,
2020-03-06,Denmark,2.244,4.144,
2020-03-07,Denmark,0.0,4.144,
2020-03-08,Denmark,2.244,6.388,
2020-03-09,Denmark,9.496,15.883,
2020-03-10,Denmark,29.695,45.57899999999999,
2020-03-11,Denmark,31.076,76.655,
2020-03-12,Denmark,29.868000000000002,106.523,
2020-03-13,Denmark,32.285,138.80700000000002,
2020-03-14,Denmark,5.525,144.332,0.17300000000000001
2020-03-15,Denmark,6.733,151.065,0.345
2020-03-16,Denmark,10.013,161.079,0.518
2020-03-17,Denmark,15.883,176.96200000000002,0.691
2020-03-18,Denmark,15.710999999999999,192.673,0.691
2020-03-19,Denmark,18.817999999999998,211.49099999999999,1.036
2020-03-20,Denmark,19.336,230.828,1.554
2020-03-21,Denmark,14.33,245.157,2.244
2020-03-22,Denmark,16.229,261.38599999999997,2.244
2020-03-23,Denmark,10.013,271.399,4.144
2020-03-24,Denmark,25.206,296.606,5.525
2020-03-25,Denmark,24.861,321.467,5.87
2020-03-26,Denmark,27.796,349.26300000000003,7.077999999999999
2020-03-27,Denmark,30.558000000000003,379.82099999999997,8.978
2020-03-28,Denmark,28.659000000000002,408.48,11.222000000000001
2020-03-29,Denmark,34.184,442.664,12.431
2020-03-30,Denmark,32.975,475.639,13.294
2020-03-31,Denmark,49.031000000000006,524.6709999999999,15.538
2020-04-01,Denmark,43.333999999999996,568.005,17.955
2020-04-02,Denmark,48.858999999999995,616.864,21.235
2020-04-03,Denmark,64.39699999999999,681.2610000000001,23.998
2020-04-04,Denmark,55.765,737.025,27.796
2020-04-05,Denmark,50.413000000000004,787.438,30.904
2020-04-06,Denmark,54.211000000000006,841.6489999999999,32.285
2020-04-07,Denmark,67.505,909.153,35.047
2020-04-08,Denmark,57.146,966.299,37.637
2020-04-09,Denmark,40.226,1006.525,40.917
2020-04-10,Denmark,31.767,1038.292,42.644
2020-04-11,Denmark,30.558000000000003,1068.851,44.888000000000005
2020-04-12,Denmark,30.730999999999998,1099.5819999999999,47.132
2020-04-13,Denmark,24.861,1124.443,49.20399999999999
2020-04-14,Denmark,33.321,1157.763,51.621
2020-04-15,Denmark,29.35,1187.113,53.348
2020-04-16,Denmark,34.184,1221.297,55.419
2020-04-17,Denmark,33.493,1254.79,58.00899999999999
2020-04-18,Denmark,29.177,1283.9669999999999,59.735
2020-04-19,Denmark,24.688000000000002,1308.656,61.288999999999994
2020-04-20,Denmark,22.616999999999997,1331.2720000000002,62.843
2020-04-21,Denmark,31.076,1362.349,63.879
2020-04-22,Denmark,37.464,1399.8129999999999,66.296
2020-04-23,Denmark,28.141,1427.954,68.02199999999999
2020-04-24,Denmark,23.651999999999997,1451.6070000000002,69.57600000000001
2020-04-25,Denmark,40.571999999999996,1492.1779999999999,72.166
2020-04-26,Denmark,22.444000000000003,1514.622,72.857
2020-04-27,Denmark,21.235,1535.858,73.72
2020-04-28,Denmark,26.415,1562.273,74.928
2020-04-29,Denmark,27.105,1589.378,76.482
2020-04-30,Denmark,25.897,1615.275,78.036
2020-05-01,Denmark,26.415,1641.69,79.417
2020-05-02,Denmark,16.574,1658.264,82.007
2020-05-03,Denmark,20.027,1678.2910000000002,83.561
2020-05-04,Denmark,25.379,1703.67,85.11399999999999
2020-05-05,Denmark,26.07,1729.739,86.84100000000001
2020-05-06,Denmark,20.2,1749.9389999999999,87.359
2020-05-07,Denmark,25.034000000000002,1774.9720000000002,88.74
2020-05-08,Denmark,23.307,1798.28,90.12100000000001
2020-05-09,Denmark,17.437,1815.717,90.81200000000001
2020-05-10,Denmark,18.991,1834.7079999999999,91.33
2020-05-11,Denmark,14.502,1849.21,92.02
2020-05-12,Denmark,13.466,1862.6760000000002,90.984
2020-05-13,Denmark,13.120999999999999,1875.7979999999998,92.02
2020-05-14,Denmark,7.942,1883.739,92.711
2020-05-15,Denmark,13.466,1897.2060000000001,92.711
2020-05-16,Denmark,11.567,1908.773,93.74700000000001
2020-05-17,Denmark,11.913,1920.685,94.43700000000001
2020-05-18,Denmark,7.077999999999999,1927.764,94.61
2020-05-19,Denmark,13.120999999999999,1940.885,95.12799999999999
2020-05-20,Denmark,12.603,1953.4879999999998,95.646
2020-05-21,Denmark,11.222000000000001,1964.71,96.854
2020-05-22,Denmark,8.287,1972.997,96.854
2020-05-23,Denmark,10.186,1983.183,96.854
2020-05-24,Denmark,12.431,1995.614,97.027
2020-05-25,Denmark,4.6610000000000005,2000.275,97.2
2020-05-26,Denmark,7.077999999999999,2007.354,97.2
2020-05-27,Denmark,9.15,2016.504,97.545
2020-05-28,Denmark,5.525,2022.029,98.06299999999999
2020-05-29,Denmark,13.984000000000002,2036.013,98.06299999999999
2020-05-30,Denmark,6.906000000000001,2042.9189999999999,98.581
2020-05-31,Denmark,6.215,2049.134,99.09899999999999
2020-06-01,Denmark,5.178999999999999,2054.313,99.444
2020-06-02,Denmark,6.042999999999999,2060.356,100.135
2020-06-03,Denmark,6.388,2066.744,100.135
2020-06-04,Denmark,6.906000000000001,2073.65,100.48
2020-06-05,Denmark,11.049000000000001,2084.699,101.17
2020-06-06,Denmark,8.46,2093.159,101.34299999999999
2020-06-07,Denmark,4.144,2097.302,101.68799999999999
