date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-01-24,France,0.028999999999999998,0.028999999999999998,
2020-01-25,France,0.015,0.044000000000000004,
2020-01-26,France,0.0,0.044000000000000004,
2020-01-27,France,0.0,0.044000000000000004,
2020-01-28,France,0.015,0.059000000000000004,
2020-01-29,France,0.015,0.073,
2020-01-30,France,0.0,0.073,
2020-01-31,France,0.0,0.073,
2020-02-01,France,0.015,0.08800000000000001,
2020-02-02,France,0.0,0.08800000000000001,
2020-02-03,France,0.0,0.08800000000000001,
2020-02-04,France,0.0,0.08800000000000001,
2020-02-05,France,0.0,0.08800000000000001,
2020-02-06,France,0.0,0.08800000000000001,
2020-02-07,France,0.0,0.08800000000000001,
2020-02-08,France,0.073,0.161,
2020-02-09,France,0.0,0.161,
2020-02-10,France,0.0,0.161,
2020-02-11,France,0.0,0.161,
2020-02-12,France,0.0,0.161,
2020-02-13,France,0.0,0.161,
2020-02-14,France,0.0,0.161,
2020-02-15,France,0.015,0.17600000000000002,0.015
2020-02-16,France,0.0,0.17600000000000002,0.015
2020-02-17,France,0.0,0.17600000000000002,0.015
2020-02-18,France,0.0,0.17600000000000002,0.015
2020-02-19,France,0.0,0.17600000000000002,0.015
2020-02-20,France,0.0,0.17600000000000002,0.015
2020-02-21,France,0.0,0.17600000000000002,0.015
2020-02-22,France,0.0,0.17600000000000002,0.015
2020-02-23,France,0.0,0.17600000000000002,0.015
2020-02-24,France,0.0,0.17600000000000002,0.015
2020-02-25,France,0.028999999999999998,0.205,0.015
2020-02-26,France,0.059000000000000004,0.264,0.028999999999999998
2020-02-27,France,0.293,0.5579999999999999,0.028999999999999998
2020-02-28,France,0.27899999999999997,0.836,0.028999999999999998
2020-02-29,France,0.631,1.4669999999999999,0.028999999999999998
2020-03-01,France,0.44,1.9080000000000001,0.028999999999999998
2020-03-02,France,0.895,2.803,0.044000000000000004
2020-03-03,France,0.308,3.111,0.059000000000000004
2020-03-04,France,1.115,4.226,0.059000000000000004
2020-03-05,France,2.025,6.251,0.10300000000000001
2020-03-06,France,2.7880000000000003,9.039,0.132
2020-03-07,France,4.872,13.911,0.235
2020-03-08,France,2.597,16.508,0.27899999999999997
2020-03-09,France,4.197,20.705,0.36700000000000005
2020-03-10,France,5.459,26.164,0.484
2020-03-11,France,7.484,33.648,0.7040000000000001
2020-03-12,France,0.0,33.648,0.7040000000000001
2020-03-13,France,20.368,54.015,1.159
2020-03-14,France,11.959000000000001,65.97399999999999,1.335
2020-03-15,France,0.528,66.503,1.335
