date,confirmed,deaths,recovered
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,1,0,0
2020-1-28,4,0,0
2020-1-29,4,0,0
2020-1-30,4,0,0
2020-1-31,5,0,0
2020-2-1,8,0,0
2020-2-2,10,0,0
2020-2-3,12,0,0
2020-2-4,12,0,0
2020-2-5,12,0,0
2020-2-6,12,0,0
2020-2-7,13,0,0
2020-2-8,13,0,0
2020-2-9,14,0,0
2020-2-10,14,0,0
2020-2-11,16,0,0
2020-2-12,16,0,0
2020-2-13,16,0,1
2020-2-14,16,0,1
2020-2-15,16,0,1
2020-2-16,16,0,1
2020-2-17,16,0,1
2020-2-18,16,0,12
2020-2-19,16,0,12
2020-2-20,16,0,12
2020-2-21,16,0,14
2020-2-22,16,0,14
2020-2-23,16,0,14
2020-2-24,16,0,14
2020-2-25,17,0,14
2020-2-26,27,0,15
2020-2-27,46,0,16
2020-2-28,48,0,16
2020-2-29,79,0,16
2020-3-1,130,0,16
2020-3-2,159,0,16
2020-3-3,196,0,16
2020-3-4,262,0,16
2020-3-5,482,0,16
2020-3-6,670,0,17
2020-3-7,799,0,18
2020-3-8,1040,0,18
2020-3-9,1176,2,18
2020-3-10,1457,2,18
2020-3-11,1908,3,25
2020-3-12,2078,3,25
2020-3-13,3675,7,46
2020-3-14,4585,9,46
2020-3-15,5795,11,46
2020-3-16,7272,17,67
2020-3-17,9257,24,67
2020-3-18,12327,28,105
2020-3-19,15320,44,113
2020-3-20,19848,67,180
2020-3-21,22213,84,233
2020-3-22,24873,94,266
2020-3-23,29056,123,266
2020-3-24,32986,157,3243
2020-3-25,37323,206,3547
2020-3-26,43938,267,5673
2020-3-27,50871,342,6658
2020-3-28,57695,433,8481
2020-3-29,62095,533,9211
2020-3-30,66885,645,13500
2020-3-31,71808,775,16100
2020-4-1,77872,920,18700
2020-4-2,84794,1107,22440
2020-4-3,91159,1275,24575
2020-4-4,96092,1444,26400
2020-4-5,100123,1584,28700
2020-4-6,103374,1810,28700
2020-4-7,107663,2016,36081
2020-4-8,113296,2349,46300
2020-4-9,118181,2607,52407
2020-4-10,122171,2767,53913
2020-4-11,124908,2736,57400
2020-4-12,127854,3022,60300
2020-4-13,130072,3194,64300
2020-4-14,131359,3294,68200
2020-4-15,134753,3804,72600
2020-4-16,137698,4052,77000
2020-4-17,141397,4352,83114
2020-4-18,143342,4459,85400
2020-4-19,145184,4586,88000
2020-4-20,147065,4862,91500
2020-4-21,148291,5033,95200
2020-4-22,150648,5279,99400
2020-4-23,153129,5575,103300
2020-4-24,154999,5760,109800
2020-4-25,156513,5877,109800
2020-4-26,157770,5976,112000
2020-4-27,158758,6126,114500
2020-4-28,159912,6314,117400
2020-4-29,161539,6467,120400
2020-4-30,163009,6623,123500
2020-5-1,164077,6736,126900
2020-5-2,164967,6812,129000
2020-5-3,165664,6866,130600
2020-5-4,166152,6993,132700
2020-5-5,167007,6993,135100
2020-5-6,168162,7275,139900
2020-5-7,169430,7392,141700
2020-5-8,170588,7510,141700
2020-5-9,171324,7549,143300
2020-5-10,171879,7569,144400
2020-5-11,172576,7661,145617
2020-5-12,173171,7738,147200
2020-5-13,174098,7861,148700
2020-5-14,174478,7884,150300
2020-5-15,175233,7897,151597
2020-5-16,175752,7938,152600
2020-5-17,176369,7962,154011
2020-5-18,176551,8003,155041
2020-5-19,177778,8081,155681
2020-5-20,178473,8144,156966
2020-5-21,179021,8203,158087
2020-5-22,179710,8228,159064
2020-5-23,179986,8261,159716
2020-5-24,180328,8283,160281
2020-5-25,180600,8309,161199
2020-5-26,181200,8372,161967
2020-5-27,181524,8428,162820
2020-5-28,182196,8470,163360
2020-5-29,182922,8504,164245
2020-5-30,183189,8530,164908
2020-5-31,183410,8540,165352
2020-6-1,183594,8555,165632
2020-6-2,183879,8563,166609
2020-6-3,184121,8602,167453
2020-6-4,184472,8635,167909
2020-6-5,184924,8658,168480
2020-6-6,185450,8673,168958
2020-6-7,185750,8685,169224
2020-6-8,186109,8695,169556
2020-6-9,186506,8736,170129
2020-6-10,186522,8752,170630
2020-6-11,186691,8772,170961
2020-6-12,187226,8783,171535
2020-6-13,187267,8793,171970
2020-6-14,187518,8801,172089
2020-6-15,187682,8807,172692
2020-6-16,188252,8820,172842
2020-6-17,188604,8851,173599
2020-6-18,189817,8875,173847
2020-6-19,190299,8887,173972
2020-6-20,190670,8895,174609
2020-6-21,191272,8895,174740
2020-6-22,191768,8899,175143
2020-6-23,192480,8914,175825
2020-6-24,192871,8928,176422
2020-6-25,193371,8940,176764
2020-6-26,194036,8965,177149
2020-6-27,194458,8968,177518
2020-6-28,194693,8968,177657
2020-6-29,195042,8976,177770
2020-6-30,195418,8990,178100
2020-7-1,195893,8995,179100
2020-7-2,196370,9006,179800
2020-7-3,196780,9010,180300
2020-7-4,197198,9020,181000
2020-7-5,197523,9023,181719
2020-7-6,198064,9022,182160
2020-7-7,198343,9032,182661
2020-7-8,198699,9046,183153
2020-7-9,199001,9057,183728
2020-7-10,199332,9063,184028
2020-7-11,199709,9070,184266
2020-7-12,199919,9071,184414
2020-7-13,200180,9074,185100
2020-7-14,200456,9078,185100
2020-7-15,200890,9080,186000
2020-7-16,201450,9087,186400
2020-7-17,202045,9088,186900
2020-7-18,202426,9091,187200
2020-7-19,202735,9092,187400
2020-7-20,203325,9094,188070
2020-7-21,203717,9099,188221
2020-7-22,204276,9102,188628
2020-7-23,204881,9110,189140
2020-7-24,205623,9120,189696
2020-7-25,206278,9124,189919
2020-7-26,206667,9124,190055
2020-7-27,207112,9125,190314
2020-7-28,207707,9131,190711
2020-7-29,208546,9135,191279
2020-7-30,209535,9144,191551
2020-7-31,210399,9147,191992
2020-8-1,211005,9154,192636
2020-8-2,211220,9154,192908
2020-8-3,212111,9154,193594
2020-8-4,212828,9163,194173
2020-8-5,214113,9179,194568
2020-8-6,215039,9181,195281
2020-8-7,216196,9195,195935
2020-8-8,216903,9201,196550
2020-8-9,217288,9202,196783
2020-8-10,218508,9203,197382
2020-8-11,219540,9208,198347
2020-8-12,220859,9213,198991
2020-8-13,222281,9217,199654
2020-8-14,223791,9230,200440
2020-8-15,224488,9235,200756
2020-8-16,225007,9235,201187
2020-8-17,226700,9236,202249
2020-8-18,228120,9241,203677
2020-8-19,229706,9249,204454
2020-8-20,231292,9263,205359
2020-8-21,233029,9266,206656
2020-8-22,233861,9272,207606
2020-8-23,234494,9275,207985
2020-8-24,236122,9276,208653
2020-8-25,237583,9281,210333
2020-8-26,239010,9285,211691
2020-8-27,240571,9290,212909
2020-8-28,242126,9290,214186
2020-8-29,242835,9299,214790
2020-8-30,243305,9300,215283
2020-8-31,244802,9303,216795
2020-9-1,246015,9307,218403
2020-9-2,247411,9322,219904
2020-9-3,248840,9322,221525
2020-9-4,250283,9327,222802
2020-9-5,251058,9329,223570
2020-9-6,251728,9330,224215
2020-9-7,253626,9331,225704
2020-9-8,254957,9336,227379
2020-9-9,256433,9342,228784
2020-9-10,258149,9345,230283
2020-9-11,259735,9348,231349
2020-9-12,260817,9352,231953
2020-9-13,261737,9354,232541
2020-9-14,263222,9356,234017
2020-9-15,265014,9367,235112
2020-9-16,266869,9373,236623
2020-9-17,269048,9376,238437
2020-9-18,271247,9386,239654
2020-9-19,272932,9388,240510
2020-9-20,273965,9390,241192
2020-9-21,275560,9390,242656
2020-9-22,277412,9405,244693
2020-9-23,279025,9423,245706
2020-9-24,281346,9436,247766
2020-9-25,283712,9451,249164
2020-9-26,285026,9459,250104
2020-9-27,286339,9464,250866
2020-9-28,288631,9468,252693
