date,location,new_cases
2020-02-25,Austria,2.0
2020-02-26,Austria,0.0
2020-02-27,Austria,1.0
2020-02-28,Austria,0.0
2020-02-29,Austria,6.0
2020-03-01,Austria,5.0
2020-03-02,Austria,4.0
2020-03-03,Austria,3.0
2020-03-04,Austria,8.0
2020-03-05,Austria,12.0
2020-03-06,Austria,14.0
2020-03-07,Austria,24.0
2020-03-08,Austria,25.0
2020-03-09,Austria,27.0
2020-03-10,Austria,51.0
2020-03-11,Austria,64.0
2020-03-12,Austria,56.0
2020-03-13,Austria,202.0
2020-03-14,Austria,151.0
2020-03-15,Austria,205.0
2020-03-16,Austria,158.0
2020-03-17,Austria,314.0
2020-03-18,Austria,314.0
2020-03-19,Austria,367.0
2020-03-20,Austria,375.0
2020-03-21,Austria,426.0
2020-03-22,Austria,768.0
2020-03-23,Austria,892.0
2020-03-24,Austria,809.0
2020-03-25,Austria,305.0
2020-03-26,Austria,1321.0
2020-03-27,Austria,748.0
2020-03-28,Austria,614.0
2020-03-29,Austria,517.0
2020-03-30,Austria,830.0
2020-03-31,Austria,562.0
2020-04-01,Austria,531.0
2020-04-02,Austria,418.0
2020-04-03,Austria,395.0
2020-04-04,Austria,257.0
2020-04-05,Austria,270.0
2020-04-06,Austria,246.0
2020-04-07,Austria,342.0
2020-04-08,Austria,303.0
2020-04-09,Austria,302.0
2020-04-10,Austria,311.0
2020-04-11,Austria,251.0
2020-04-12,Austria,139.0
2020-04-13,Austria,96.0
2020-04-14,Austria,185.0
2020-04-15,Austria,110.0
2020-04-16,Austria,140.0
2020-04-17,Austria,119.0
2020-04-18,Austria,76.0
2020-04-19,Austria,78.0
2020-04-20,Austria,46.0
2020-04-21,Austria,78.0
2020-04-22,Austria,52.0
2020-04-23,Austria,77.0
2020-04-24,Austria,69.0
2020-04-25,Austria,77.0
2020-04-26,Austria,77.0
2020-04-27,Austria,49.0
2020-04-28,Austria,83.0
2020-04-29,Austria,45.0
2020-04-30,Austria,50.0
2020-05-01,Austria,79.0
2020-05-02,Austria,27.0
2020-05-03,Austria,39.0
2020-05-04,Austria,24.0
2020-05-05,Austria,29.0
2020-05-06,Austria,34.0
2020-05-07,Austria,68.0
2020-05-08,Austria,22.0
2020-05-09,Austria,59.0
2020-05-10,Austria,38.0
2020-05-11,Austria,11.0
2020-05-12,Austria,79.0
2020-05-13,Austria,36.0
2020-05-14,Austria,61.0
2020-05-15,Austria,51.0
2020-05-16,Austria,92.0
2020-05-17,Austria,41.0
2020-05-18,Austria,27.0
2020-05-19,Austria,52.0
2020-05-20,Austria,32.0
2020-05-21,Austria,51.0
2020-05-22,Austria,32.0
2020-05-23,Austria,50.0
2020-05-24,Austria,17.0
2020-05-25,Austria,36.0
2020-05-26,Austria,18.0
2020-05-27,Austria,34.0
