date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-01-31,Italy,0.033,0.033,
2020-02-01,Italy,0.0,0.033,
2020-02-02,Italy,0.0,0.033,
2020-02-03,Italy,0.0,0.033,
2020-02-04,Italy,0.0,0.033,
2020-02-05,Italy,0.0,0.033,
2020-02-06,Italy,0.0,0.033,
2020-02-07,Italy,0.017,0.05,
2020-02-08,Italy,0.0,0.05,
2020-02-09,Italy,0.0,0.05,
2020-02-10,Italy,0.0,0.05,
2020-02-11,Italy,0.0,0.05,
2020-02-12,Italy,0.0,0.05,
2020-02-13,Italy,0.0,0.05,
2020-02-14,Italy,0.0,0.05,
2020-02-15,Italy,0.0,0.05,
2020-02-16,Italy,0.0,0.05,
2020-02-17,Italy,0.0,0.05,
2020-02-18,Italy,0.0,0.05,
2020-02-19,Italy,0.0,0.05,
2020-02-20,Italy,0.0,0.05,
2020-02-21,Italy,0.281,0.331,0.017
2020-02-22,Italy,0.695,1.025,0.033
2020-02-23,Italy,1.538,2.5639999999999996,0.05
2020-02-24,Italy,1.224,3.7880000000000003,0.11599999999999999
2020-02-25,Italy,1.538,5.3260000000000005,0.165
2020-02-26,Italy,2.167,7.492000000000001,0.198
2020-02-27,Italy,3.341,10.833,0.281
2020-02-28,Italy,3.8539999999999996,14.687000000000001,0.34700000000000003
2020-02-29,Italy,3.969,18.656,0.48
2020-03-01,Italy,9.361,28.018,0.562
2020-03-02,Italy,5.656000000000001,33.674,0.86
2020-03-03,Italy,7.707000000000001,41.381,1.307
2020-03-04,Italy,9.709,51.09,1.77
2020-03-05,Italy,12.719000000000001,63.809,2.448
2020-03-06,Italy,12.868,76.676,3.258
2020-03-07,Italy,20.625,97.301,3.8539999999999996
2020-03-08,Italy,24.677,121.978,6.053
2020-03-09,Italy,29.721,151.69899999999998,7.6579999999999995
2020-03-10,Italy,16.159000000000002,167.858,10.436
2020-03-11,Italy,38.256,206.114,13.677999999999999
2020-03-12,Italy,43.846000000000004,249.959,16.804000000000002
2020-03-13,Italy,42.126000000000005,292.085,20.939
2020-03-14,Italy,57.838,349.923,23.833000000000002
2020-03-15,Italy,59.376000000000005,409.3,29.92
2020-03-16,Italy,53.472,462.77099999999996,35.692
2020-03-17,Italy,58.318000000000005,521.089,41.398
2020-03-18,Italy,69.581,590.67,49.254
2020-03-19,Italy,88.022,678.693,56.317
2020-03-20,Italy,99.005,777.697,66.687
2020-03-21,Italy,108.449,886.1460000000001,79.80199999999999
2020-03-22,Italy,91.959,978.105,90.57
2020-03-23,Italy,79.207,1057.312,100.51
2020-03-24,Italy,86.815,1144.127,112.79799999999999
2020-03-25,Italy,86.17,1230.297,124.095
2020-03-26,Italy,102.594,1332.891,135.871
2020-03-27,Italy,97.73100000000001,1430.622,151.071
2020-03-28,Italy,98.806,1529.4279999999999,165.774
2020-03-29,Italy,86.286,1615.714,178.278
2020-03-30,Italy,66.984,1682.6979999999999,191.708
