date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million,total_vaccinations_per_hundred
2020-03-04,Liechtenstein,26.221,26.221,,
2020-03-05,Liechtenstein,0.0,26.221,,
2020-03-06,Liechtenstein,0.0,26.221,,
2020-03-07,Liechtenstein,0.0,26.221,,
2020-03-08,Liechtenstein,0.0,26.221,,
2020-03-09,Liechtenstein,0.0,26.221,,
2020-03-10,Liechtenstein,0.0,26.221,,
2020-03-11,Liechtenstein,0.0,26.221,,
2020-03-12,Liechtenstein,0.0,26.221,,
2020-03-13,Liechtenstein,0.0,26.221,,
2020-03-14,Liechtenstein,78.664,104.885,,
2020-03-15,Liechtenstein,0.0,104.885,,
2020-03-16,Liechtenstein,0.0,104.885,,
2020-03-17,Liechtenstein,78.664,183.549,,
2020-03-18,Liechtenstein,550.646,734.195,,
2020-03-19,Liechtenstein,0.0,734.195,,
2020-03-20,Liechtenstein,0.0,734.195,,
2020-03-21,Liechtenstein,235.99099999999999,970.186,,
2020-03-22,Liechtenstein,0.0,970.186,,
2020-03-23,Liechtenstein,367.098,1337.2839999999999,,
2020-03-24,Liechtenstein,0.0,1337.2839999999999,,
2020-03-25,Liechtenstein,0.0,1337.2839999999999,,
2020-03-26,Liechtenstein,131.106,1468.39,,
2020-03-27,Liechtenstein,0.0,1468.39,,
2020-03-28,Liechtenstein,0.0,1468.39,,
2020-03-29,Liechtenstein,0.0,1468.39,,
2020-03-30,Liechtenstein,157.328,1625.7179999999998,,
2020-03-31,Liechtenstein,157.328,1783.045,,
2020-04-01,Liechtenstein,0.0,1783.045,,
2020-04-02,Liechtenstein,183.549,1966.594,,
2020-04-03,Liechtenstein,26.221,1992.815,,
2020-04-04,Liechtenstein,26.221,2019.037,26.221,
2020-04-05,Liechtenstein,0.0,2019.037,26.221,
2020-04-06,Liechtenstein,0.0,2019.037,26.221,
2020-04-07,Liechtenstein,26.221,2045.2579999999998,26.221,
2020-04-08,Liechtenstein,0.0,2045.2579999999998,26.221,
2020-04-09,Liechtenstein,0.0,2045.2579999999998,26.221,
2020-04-10,Liechtenstein,26.221,2071.479,26.221,
2020-04-11,Liechtenstein,0.0,2071.479,26.221,
2020-04-12,Liechtenstein,0.0,2071.479,26.221,
2020-04-13,Liechtenstein,0.0,2071.479,26.221,
2020-04-14,Liechtenstein,0.0,2071.479,26.221,
2020-04-15,Liechtenstein,0.0,2071.479,26.221,
2020-04-16,Liechtenstein,0.0,2071.479,26.221,
2020-04-17,Liechtenstein,0.0,2071.479,26.221,
2020-04-18,Liechtenstein,0.0,2071.479,26.221,
2020-04-19,Liechtenstein,52.443000000000005,2123.922,26.221,
2020-04-20,Liechtenstein,0.0,2123.922,26.221,
2020-04-21,Liechtenstein,0.0,2123.922,26.221,
2020-04-22,Liechtenstein,0.0,2123.922,26.221,
2020-04-23,Liechtenstein,0.0,2123.922,26.221,
2020-04-24,Liechtenstein,0.0,2123.922,26.221,
2020-04-25,Liechtenstein,0.0,2123.922,26.221,
2020-04-26,Liechtenstein,26.221,2150.143,26.221,
2020-04-27,Liechtenstein,0.0,2150.143,26.221,
2020-04-28,Liechtenstein,0.0,2150.143,26.221,
2020-04-29,Liechtenstein,0.0,2150.143,26.221,
2020-04-30,Liechtenstein,0.0,2150.143,26.221,
2020-05-01,Liechtenstein,0.0,2150.143,26.221,
2020-05-02,Liechtenstein,0.0,2150.143,26.221,
2020-05-03,Liechtenstein,0.0,2150.143,26.221,
2020-05-04,Liechtenstein,0.0,2150.143,26.221,
2020-05-05,Liechtenstein,0.0,2150.143,26.221,
2020-05-06,Liechtenstein,0.0,2150.143,26.221,
2020-05-07,Liechtenstein,0.0,2150.143,26.221,
2020-05-08,Liechtenstein,0.0,2150.143,26.221,
2020-05-09,Liechtenstein,0.0,2150.143,26.221,
2020-05-10,Liechtenstein,0.0,2150.143,26.221,
2020-05-11,Liechtenstein,0.0,2150.143,26.221,
2020-05-12,Liechtenstein,0.0,2150.143,26.221,
2020-05-13,Liechtenstein,0.0,2150.143,26.221,
2020-05-14,Liechtenstein,0.0,2150.143,26.221,
2020-05-15,Liechtenstein,0.0,2150.143,26.221,
2020-05-16,Liechtenstein,0.0,2150.143,26.221,
2020-05-17,Liechtenstein,0.0,2150.143,26.221,
2020-05-18,Liechtenstein,0.0,2150.143,26.221,
2020-05-19,Liechtenstein,0.0,2150.143,26.221,
2020-05-20,Liechtenstein,0.0,2150.143,26.221,
2020-05-21,Liechtenstein,0.0,2150.143,26.221,
2020-05-22,Liechtenstein,0.0,2150.143,26.221,
2020-05-23,Liechtenstein,0.0,2150.143,26.221,
2020-05-24,Liechtenstein,0.0,2150.143,26.221,
2020-05-25,Liechtenstein,0.0,2150.143,26.221,
2020-05-26,Liechtenstein,0.0,2150.143,26.221,
2020-05-27,Liechtenstein,0.0,2150.143,26.221,
2020-05-28,Liechtenstein,0.0,2150.143,26.221,
2020-05-29,Liechtenstein,0.0,2150.143,26.221,
2020-05-30,Liechtenstein,0.0,2150.143,26.221,
2020-05-31,Liechtenstein,0.0,2150.143,26.221,
2020-06-01,Liechtenstein,0.0,2150.143,26.221,
2020-06-02,Liechtenstein,0.0,2150.143,26.221,
2020-06-03,Liechtenstein,0.0,2150.143,26.221,
2020-06-04,Liechtenstein,0.0,2150.143,26.221,
2020-06-05,Liechtenstein,0.0,2150.143,26.221,
2020-06-06,Liechtenstein,0.0,2150.143,26.221,
2020-06-07,Liechtenstein,0.0,2150.143,26.221,
2020-06-08,Liechtenstein,0.0,2150.143,26.221,
2020-06-09,Liechtenstein,0.0,2150.143,26.221,
2020-06-10,Liechtenstein,0.0,2150.143,26.221,
2020-06-11,Liechtenstein,0.0,2150.143,26.221,
2020-06-12,Liechtenstein,0.0,2150.143,26.221,
2020-06-13,Liechtenstein,0.0,2150.143,26.221,
2020-06-14,Liechtenstein,0.0,2150.143,26.221,
2020-06-15,Liechtenstein,0.0,2150.143,26.221,
2020-06-16,Liechtenstein,0.0,2150.143,26.221,
2020-06-17,Liechtenstein,0.0,2150.143,26.221,
2020-06-18,Liechtenstein,0.0,2150.143,26.221,
2020-06-19,Liechtenstein,0.0,2150.143,26.221,
2020-06-20,Liechtenstein,0.0,2150.143,26.221,
2020-06-21,Liechtenstein,0.0,2150.143,26.221,
2020-06-22,Liechtenstein,0.0,2150.143,26.221,
2020-06-23,Liechtenstein,0.0,2150.143,26.221,
2020-06-24,Liechtenstein,0.0,2150.143,26.221,
2020-06-25,Liechtenstein,0.0,2150.143,26.221,
2020-06-26,Liechtenstein,0.0,2150.143,26.221,
2020-06-27,Liechtenstein,0.0,2150.143,26.221,
2020-06-28,Liechtenstein,0.0,2150.143,26.221,
2020-06-29,Liechtenstein,0.0,2150.143,26.221,
2020-06-30,Liechtenstein,0.0,2150.143,26.221,
2020-07-01,Liechtenstein,0.0,2150.143,26.221,
2020-07-02,Liechtenstein,26.221,2176.364,26.221,
2020-07-03,Liechtenstein,0.0,2176.364,26.221,
2020-07-04,Liechtenstein,0.0,2176.364,26.221,
2020-07-05,Liechtenstein,0.0,2176.364,26.221,
2020-07-06,Liechtenstein,26.221,2202.585,26.221,
2020-07-07,Liechtenstein,0.0,2202.585,26.221,
2020-07-08,Liechtenstein,0.0,2202.585,26.221,
2020-07-09,Liechtenstein,0.0,2202.585,26.221,
2020-07-10,Liechtenstein,0.0,2202.585,26.221,
2020-07-11,Liechtenstein,0.0,2202.585,26.221,
2020-07-12,Liechtenstein,0.0,2202.585,26.221,
2020-07-13,Liechtenstein,0.0,2202.585,26.221,
2020-07-14,Liechtenstein,0.0,2202.585,26.221,
2020-07-15,Liechtenstein,0.0,2202.585,26.221,
2020-07-16,Liechtenstein,0.0,2202.585,26.221,
2020-07-17,Liechtenstein,26.221,2228.8070000000002,26.221,
2020-07-18,Liechtenstein,26.221,2255.028,26.221,
2020-07-19,Liechtenstein,0.0,2255.028,26.221,
2020-07-20,Liechtenstein,0.0,2255.028,26.221,
2020-07-21,Liechtenstein,0.0,2255.028,26.221,
2020-07-22,Liechtenstein,0.0,2255.028,26.221,
2020-07-23,Liechtenstein,0.0,2255.028,26.221,
2020-07-24,Liechtenstein,0.0,2255.028,26.221,
2020-07-25,Liechtenstein,0.0,2255.028,26.221,
2020-07-26,Liechtenstein,0.0,2255.028,26.221,
2020-07-27,Liechtenstein,0.0,2255.028,26.221,
2020-07-28,Liechtenstein,26.221,2281.249,26.221,
2020-07-29,Liechtenstein,26.221,2307.47,26.221,
2020-07-30,Liechtenstein,0.0,2307.47,26.221,
2020-07-31,Liechtenstein,0.0,2307.47,26.221,
2020-08-01,Liechtenstein,0.0,2307.47,26.221,
2020-08-02,Liechtenstein,26.221,2333.692,26.221,
2020-08-03,Liechtenstein,0.0,2333.692,26.221,
2020-08-04,Liechtenstein,0.0,2333.692,26.221,
2020-08-05,Liechtenstein,0.0,2333.692,26.221,
2020-08-06,Liechtenstein,0.0,2333.692,26.221,
2020-08-07,Liechtenstein,0.0,2333.692,26.221,
2020-08-08,Liechtenstein,0.0,2333.692,26.221,
2020-08-09,Liechtenstein,0.0,2333.692,26.221,
2020-08-10,Liechtenstein,0.0,2333.692,26.221,
2020-08-11,Liechtenstein,0.0,2333.692,26.221,
2020-08-12,Liechtenstein,26.221,2359.913,26.221,
2020-08-13,Liechtenstein,0.0,2359.913,26.221,
2020-08-14,Liechtenstein,26.221,2386.134,26.221,
2020-08-15,Liechtenstein,0.0,2386.134,26.221,
2020-08-16,Liechtenstein,0.0,2386.134,26.221,
2020-08-17,Liechtenstein,78.664,2464.798,26.221,
2020-08-18,Liechtenstein,78.664,2543.462,26.221,
2020-08-19,Liechtenstein,26.221,2569.683,26.221,
2020-08-20,Liechtenstein,26.221,2595.904,26.221,
2020-08-21,Liechtenstein,0.0,2595.904,26.221,
2020-08-22,Liechtenstein,0.0,2595.904,26.221,
2020-08-23,Liechtenstein,0.0,2595.904,26.221,
2020-08-24,Liechtenstein,26.221,2622.125,26.221,
2020-08-25,Liechtenstein,52.443000000000005,2674.5679999999998,26.221,
2020-08-26,Liechtenstein,0.0,2674.5679999999998,26.221,
2020-08-27,Liechtenstein,78.664,2753.232,26.221,
2020-08-28,Liechtenstein,26.221,2779.453,26.221,
2020-08-29,Liechtenstein,26.221,2805.6740000000004,26.221,
2020-08-30,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-08-31,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-01,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-02,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-03,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-04,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-05,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-06,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-07,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-08,Liechtenstein,0.0,2805.6740000000004,26.221,
2020-09-09,Liechtenstein,26.221,2831.8959999999997,26.221,
2020-09-10,Liechtenstein,26.221,2858.117,26.221,
2020-09-11,Liechtenstein,0.0,2858.117,26.221,
2020-09-12,Liechtenstein,52.443000000000005,2910.559,26.221,
2020-09-13,Liechtenstein,0.0,2910.559,26.221,
2020-09-14,Liechtenstein,0.0,2910.559,26.221,
2020-09-15,Liechtenstein,0.0,2910.559,26.221,
2020-09-16,Liechtenstein,0.0,2910.559,26.221,
2020-09-17,Liechtenstein,26.221,2936.781,26.221,
2020-09-18,Liechtenstein,0.0,2936.781,26.221,
2020-09-19,Liechtenstein,26.221,2963.002,26.221,
2020-09-20,Liechtenstein,0.0,2963.002,26.221,
2020-09-21,Liechtenstein,26.221,2989.223,26.221,
2020-09-22,Liechtenstein,26.221,3015.4440000000004,26.221,
2020-09-23,Liechtenstein,26.221,3041.6659999999997,26.221,
2020-09-24,Liechtenstein,0.0,3041.6659999999997,26.221,
2020-09-25,Liechtenstein,26.221,3067.887,26.221,
2020-09-26,Liechtenstein,0.0,3067.887,26.221,
2020-09-27,Liechtenstein,0.0,3067.887,26.221,
2020-09-28,Liechtenstein,0.0,3067.887,26.221,
2020-09-29,Liechtenstein,26.221,3094.1079999999997,26.221,
2020-09-30,Liechtenstein,0.0,3094.1079999999997,26.221,
2020-10-01,Liechtenstein,26.221,3120.329,26.221,
2020-10-02,Liechtenstein,26.221,3146.551,26.221,
2020-10-03,Liechtenstein,78.664,3225.2140000000004,26.221,
2020-10-04,Liechtenstein,78.664,3303.8779999999997,26.221,
2020-10-05,Liechtenstein,26.221,3330.099,26.221,
2020-10-06,Liechtenstein,78.664,3408.763,26.221,
2020-10-07,Liechtenstein,26.221,3434.9840000000004,26.221,
2020-10-08,Liechtenstein,104.885,3539.869,26.221,
2020-10-09,Liechtenstein,104.885,3644.7540000000004,26.221,
2020-10-10,Liechtenstein,78.664,3723.4179999999997,26.221,
2020-10-11,Liechtenstein,52.443000000000005,3775.861,26.221,
2020-10-12,Liechtenstein,104.885,3880.7459999999996,26.221,
2020-10-13,Liechtenstein,393.319,4274.065,26.221,
2020-10-14,Liechtenstein,288.434,4562.498,26.221,
2020-10-15,Liechtenstein,235.99099999999999,4798.49,26.221,
2020-10-16,Liechtenstein,235.99099999999999,5034.481,26.221,
2020-10-17,Liechtenstein,655.5310000000001,5690.012,26.221,
2020-10-18,Liechtenstein,183.549,5873.561,26.221,
2020-10-19,Liechtenstein,0.0,5873.561,26.221,
2020-10-20,Liechtenstein,288.434,6161.995,26.221,
2020-10-21,Liechtenstein,445.76099999999997,6607.755999999999,26.221,
2020-10-22,Liechtenstein,786.638,7394.394,26.221,
2020-10-23,Liechtenstein,1101.2930000000001,8495.687,26.221,
2020-10-24,Liechtenstein,419.54,8915.226999999999,26.221,
2020-10-25,Liechtenstein,655.5310000000001,9570.758,26.221,
2020-10-26,Liechtenstein,970.186,10540.944,26.221,
2020-10-27,Liechtenstein,681.753,11222.697,26.221,
2020-10-28,Liechtenstein,576.868,11799.565,26.221,
2020-10-29,Liechtenstein,681.753,12481.317,26.221,
2020-10-30,Liechtenstein,970.186,13451.503999999999,52.443000000000005,
2020-10-31,Liechtenstein,524.425,13975.928999999998,78.664,
2020-11-01,Liechtenstein,471.983,14447.911,78.664,
2020-11-02,Liechtenstein,1232.399,15680.31,78.664,
2020-11-03,Liechtenstein,865.301,16545.612,78.664,
2020-11-04,Liechtenstein,734.195,17279.807,78.664,
2020-11-05,Liechtenstein,865.301,18145.108,78.664,
