date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-02-24,Luxembourg,,,
2020-02-25,Luxembourg,,,
2020-02-26,Luxembourg,,,
2020-02-27,Luxembourg,,,
2020-02-28,Luxembourg,,,
2020-02-29,Luxembourg,1.598,1.598,
2020-03-01,Luxembourg,0.0,1.598,
2020-03-02,Luxembourg,0.0,1.598,
2020-03-03,Luxembourg,0.0,1.598,
2020-03-04,Luxembourg,0.0,1.598,
2020-03-05,Luxembourg,0.0,1.598,
2020-03-06,Luxembourg,1.598,3.195,
2020-03-07,Luxembourg,0.0,3.195,
2020-03-08,Luxembourg,1.598,4.793,
2020-03-09,Luxembourg,0.0,4.793,
2020-03-10,Luxembourg,3.195,7.9879999999999995,
2020-03-11,Luxembourg,3.195,11.183,
2020-03-12,Luxembourg,19.17,30.353,
2020-03-13,Luxembourg,23.963,54.315,
2020-03-14,Luxembourg,27.158,81.473,1.598
2020-03-15,Luxembourg,12.78,94.25299999999999,1.598
2020-03-16,Luxembourg,28.755,123.008,1.598
2020-03-17,Luxembourg,100.64299999999999,223.65099999999998,1.598
2020-03-18,Luxembourg,100.64299999999999,324.29400000000004,3.195
2020-03-19,Luxembourg,210.87099999999998,535.164,6.39
2020-03-20,Luxembourg,238.028,773.193,6.39
2020-03-21,Luxembourg,297.13599999999997,1070.329,12.78
2020-03-22,Luxembourg,204.481,1274.809,12.78
2020-03-23,Luxembourg,123.008,1397.817,12.78
2020-03-24,Luxembourg,357.841,1755.658,12.78
2020-03-25,Luxembourg,373.816,2129.475,12.78
2020-03-26,Luxembourg,191.701,2321.175,14.378
2020-03-27,Luxembourg,242.821,2563.996,23.963
2020-03-28,Luxembourg,361.036,2925.032,28.755
2020-03-29,Luxembourg,190.10299999999998,3115.135,33.548
2020-03-30,Luxembourg,60.705,3175.841,35.145
2020-03-31,Luxembourg,303.526,3479.367,36.743
2020-04-01,Luxembourg,225.248,3704.615,46.328
2020-04-02,Luxembourg,268.381,3972.9959999999996,47.925
2020-04-03,Luxembourg,199.688,4172.684,49.523
2020-04-04,Luxembourg,186.908,4359.592000000001,49.523
2020-04-05,Luxembourg,119.81299999999999,4479.405,57.51
2020-04-06,Luxembourg,62.303000000000004,4541.708,65.498
2020-04-07,Luxembourg,202.88299999999998,4744.590999999999,70.29
2020-04-08,Luxembourg,102.24,4846.831,73.485
2020-04-09,Luxembourg,129.398,4976.229,83.07
2020-04-10,Luxembourg,172.53099999999998,5148.76,86.265
2020-04-11,Luxembourg,75.083,5223.842000000001,99.045
2020-04-12,Luxembourg,17.573,5241.415,105.435
2020-04-13,Luxembourg,17.573,5258.988,110.228
2020-04-14,Luxembourg,23.963,5282.95,107.03299999999999
2020-04-15,Luxembourg,105.435,5388.385,110.228
2020-04-16,Luxembourg,113.42299999999999,5501.808000000001,110.228
2020-04-17,Luxembourg,57.51,5559.319,115.02
2020-04-18,Luxembourg,91.05799999999999,5650.376,115.02
2020-04-19,Luxembourg,20.768,5671.144,116.618
2020-04-20,Luxembourg,12.78,5683.924,119.81299999999999
2020-04-21,Luxembourg,95.85,5779.774,124.605
2020-04-22,Luxembourg,57.51,5837.284000000001,127.8
2020-04-23,Luxembourg,17.573,5854.857,132.593
2020-04-24,Luxembourg,47.925,5902.781999999999,135.78799999999998
2020-04-25,Luxembourg,25.56,5928.342,135.78799999999998
2020-04-26,Luxembourg,19.17,5947.512,140.58
2020-04-27,Luxembourg,9.585,5957.097,140.58
2020-04-28,Luxembourg,19.17,5976.267,142.178
2020-04-29,Luxembourg,44.73,6020.9980000000005,142.178
2020-04-30,Luxembourg,23.963,6044.96,143.775
2020-05-01,Luxembourg,28.755,6073.715,146.97
2020-05-02,Luxembourg,15.975,6089.69,146.97
2020-05-03,Luxembourg,19.17,6108.86,153.361
2020-05-04,Luxembourg,6.39,6115.25,153.361
2020-05-05,Luxembourg,19.17,6134.42,153.361
2020-05-06,Luxembourg,17.573,6151.993,156.556
2020-05-07,Luxembourg,12.78,6164.773,159.751
2020-05-08,Luxembourg,19.17,6183.943,159.751
2020-05-09,Luxembourg,9.585,6193.528,161.34799999999998
2020-05-10,Luxembourg,14.378,6207.906,161.34799999999998
2020-05-11,Luxembourg,3.195,6211.101,161.34799999999998
2020-05-12,Luxembourg,9.585,6220.686,162.946
2020-05-13,Luxembourg,15.975,6236.661,164.543
2020-05-14,Luxembourg,17.573,6254.233,164.543
2020-05-15,Luxembourg,12.78,6267.013000000001,166.141
2020-05-16,Luxembourg,11.183,6278.196,166.141
2020-05-17,Luxembourg,23.963,6302.159000000001,170.933
2020-05-18,Luxembourg,3.195,6305.354,170.933
2020-05-19,Luxembourg,17.573,6322.9259999999995,174.128
2020-05-20,Luxembourg,20.768,6343.694,174.128
2020-05-21,Luxembourg,14.378,6358.071,174.128
2020-05-22,Luxembourg,1.598,6359.669,174.128
2020-05-23,Luxembourg,14.378,6374.045999999999,174.128
2020-05-24,Luxembourg,3.195,6377.241,175.726
2020-05-25,Luxembourg,1.598,6378.839,175.726
2020-05-26,Luxembourg,3.195,6382.034000000001,175.726
2020-05-27,Luxembourg,9.585,6391.619000000001,175.726
2020-05-28,Luxembourg,11.183,6402.8009999999995,175.726
2020-05-29,Luxembourg,6.39,6409.191,175.726
2020-05-30,Luxembourg,6.39,6415.581,175.726
2020-05-31,Luxembourg,3.195,6418.776,175.726
2020-06-01,Luxembourg,1.598,6420.374,175.726
2020-06-02,Luxembourg,1.598,6421.971,175.726
2020-06-03,Luxembourg,6.39,6428.361,175.726
2020-06-04,Luxembourg,4.793,6433.154,175.726
2020-06-05,Luxembourg,7.9879999999999995,6441.142,175.726
2020-06-06,Luxembourg,4.793,6445.934,175.726
2020-06-07,Luxembourg,6.39,6452.3240000000005,175.726
2020-06-08,Luxembourg,1.598,6453.922,175.726
2020-06-09,Luxembourg,9.585,6463.507,175.726
2020-06-10,Luxembourg,4.793,6468.299,175.726
2020-06-11,Luxembourg,4.793,6473.092,175.726
2020-06-12,Luxembourg,4.793,6477.884,175.726
2020-06-13,Luxembourg,12.78,6490.664000000001,175.726
2020-06-14,Luxembourg,11.183,6501.847,175.726
2020-06-15,Luxembourg,3.195,6505.0419999999995,175.726
2020-06-16,Luxembourg,4.793,6509.834,175.726
2020-06-17,Luxembourg,15.975,6525.809,175.726
2020-06-18,Luxembourg,9.585,6535.394,175.726
2020-06-19,Luxembourg,12.78,6548.174,175.726
2020-06-20,Luxembourg,9.585,6557.759,175.726
2020-06-21,Luxembourg,23.963,6581.722,175.726
2020-06-22,Luxembourg,1.598,6583.319,175.726
2020-06-23,Luxembourg,19.17,6602.49,175.726
2020-06-24,Luxembourg,11.183,6613.672,175.726
2020-06-25,Luxembourg,17.573,6631.245,175.726
2020-06-26,Luxembourg,35.145,6666.39,175.726
2020-06-27,Luxembourg,70.29,6736.68,175.726
2020-06-28,Luxembourg,39.938,6776.618,175.726
2020-06-29,Luxembourg,22.365,6798.983,175.726
2020-06-30,Luxembourg,68.693,6867.675,175.726
2020-07-01,Luxembourg,73.485,6941.161,175.726
2020-07-02,Luxembourg,79.875,7021.036,175.726
2020-07-03,Luxembourg,83.07,7104.106,175.726
2020-07-04,Luxembourg,46.328,7150.434,175.726
2020-07-05,Luxembourg,73.485,7223.919,175.726
2020-07-06,Luxembourg,31.95,7255.869000000001,175.726
2020-07-07,Luxembourg,97.448,7353.316999999999,175.726
2020-07-08,Luxembourg,75.083,7428.4,175.726
2020-07-09,Luxembourg,110.228,7538.628000000001,175.726
2020-07-10,Luxembourg,92.655,7631.283,175.726
2020-07-11,Luxembourg,103.838,7735.121,175.726
2020-07-12,Luxembourg,132.593,7867.714,177.32299999999998
2020-07-13,Luxembourg,49.523,7917.236,177.32299999999998
2020-07-14,Luxembourg,159.751,8076.986999999999,177.32299999999998
2020-07-15,Luxembourg,105.435,8182.422,177.32299999999998
2020-07-16,Luxembourg,260.393,8442.815999999999,177.32299999999998
2020-07-17,Luxembourg,198.09099999999998,8640.905999999999,177.32299999999998
2020-07-18,Luxembourg,118.215,8759.122,177.32299999999998
2020-07-19,Luxembourg,194.896,8954.017,177.32299999999998
2020-07-20,Luxembourg,54.315,9008.333,177.32299999999998
2020-07-21,Luxembourg,137.385,9145.718,177.32299999999998
2020-07-22,Luxembourg,206.078,9351.796,177.32299999999998
2020-07-23,Luxembourg,156.556,9508.351999999999,178.921
2020-07-24,Luxembourg,166.141,9674.492,178.921
2020-07-25,Luxembourg,212.468,9886.961,178.921
2020-07-26,Luxembourg,132.593,10019.553,178.921
2020-07-27,Luxembourg,78.278,10097.831,178.921
2020-07-28,Luxembourg,86.265,10184.097,180.518
2020-07-29,Luxembourg,252.40599999999998,10436.502,182.11599999999999
2020-07-30,Luxembourg,132.593,10569.095,182.11599999999999
2020-07-31,Luxembourg,126.20299999999999,10695.298,182.11599999999999
2020-08-01,Luxembourg,156.556,10851.854,185.31099999999998
2020-08-02,Luxembourg,99.045,10950.899,186.908
2020-08-03,Luxembourg,14.378,10965.277,188.50599999999997
2020-08-04,Luxembourg,84.66799999999999,11049.944,188.50599999999997
2020-08-05,Luxembourg,143.775,11193.72,188.50599999999997
2020-08-06,Luxembourg,105.435,11299.155,190.10299999999998
2020-08-07,Luxembourg,63.9,11363.055,190.10299999999998
2020-08-08,Luxembourg,89.46,11452.516000000001,191.701
2020-08-09,Luxembourg,57.51,11510.026000000002,191.701
2020-08-10,Luxembourg,17.573,11527.598999999998,193.298
2020-08-11,Luxembourg,41.535,11569.133999999998,194.896
2020-08-12,Luxembourg,92.655,11661.788999999999,194.896
2020-08-13,Luxembourg,108.63,11770.419,194.896
2020-08-14,Luxembourg,59.108000000000004,11829.527,194.896
2020-08-15,Luxembourg,54.315,11883.841999999999,196.493
2020-08-16,Luxembourg,30.353,11914.195,196.493
2020-08-17,Luxembourg,17.573,11931.767,198.09099999999998
2020-08-18,Luxembourg,47.925,11979.693000000001,198.09099999999998
2020-08-19,Luxembourg,107.03299999999999,12086.725,198.09099999999998
2020-08-20,Luxembourg,113.42299999999999,12200.148000000001,198.09099999999998
2020-08-21,Luxembourg,107.03299999999999,12307.181,198.09099999999998
2020-08-22,Luxembourg,92.655,12399.836000000001,198.09099999999998
2020-08-23,Luxembourg,20.768,12420.604,198.09099999999998
2020-08-24,Luxembourg,30.353,12450.957,198.09099999999998
2020-08-25,Luxembourg,70.29,12521.247,198.09099999999998
2020-08-26,Luxembourg,143.775,12665.021999999999,198.09099999999998
2020-08-27,Luxembourg,0.0,12665.021999999999,198.09099999999998
2020-08-28,Luxembourg,-2153.437,10511.585,198.09099999999998
2020-08-29,Luxembourg,71.888,10583.473,198.09099999999998
2020-08-30,Luxembourg,0.0,10583.473,198.09099999999998
2020-08-31,Luxembourg,0.0,10583.473,198.09099999999998
2020-09-01,Luxembourg,0.0,10583.473,198.09099999999998
2020-09-02,Luxembourg,191.701,10775.173,198.09099999999998
2020-09-03,Luxembourg,105.435,10880.608999999999,198.09099999999998
2020-09-04,Luxembourg,68.693,10949.302,198.09099999999998
2020-09-05,Luxembourg,67.095,11016.396999999999,198.09099999999998
2020-09-06,Luxembourg,86.265,11102.662,198.09099999999998
2020-09-07,Luxembourg,15.975,11118.636999999999,198.09099999999998
2020-09-08,Luxembourg,22.365,11141.002,198.09099999999998
2020-09-09,Luxembourg,78.278,11219.28,198.09099999999998
2020-09-10,Luxembourg,103.838,11323.118,198.09099999999998
2020-09-11,Luxembourg,0.0,11323.118,198.09099999999998
2020-09-12,Luxembourg,113.42299999999999,11436.541000000001,198.09099999999998
2020-09-13,Luxembourg,0.0,11436.541000000001,198.09099999999998
2020-09-14,Luxembourg,135.78799999999998,11572.329,198.09099999999998
2020-09-15,Luxembourg,63.9,11636.229,198.09099999999998
2020-09-16,Luxembourg,175.726,11811.954,198.09099999999998
2020-09-17,Luxembourg,234.833,12046.788,198.09099999999998
2020-09-18,Luxembourg,282.758,12329.546,198.09099999999998
2020-09-19,Luxembourg,0.0,12329.546,198.09099999999998
2020-09-20,Luxembourg,0.0,12329.546,198.09099999999998
2020-09-21,Luxembourg,316.306,12645.851999999999,198.09099999999998
2020-09-22,Luxembourg,159.751,12805.603000000001,198.09099999999998
2020-09-23,Luxembourg,118.215,12923.818000000001,198.09099999999998
2020-09-24,Luxembourg,108.63,13032.448999999999,198.09099999999998
2020-09-25,Luxembourg,119.81299999999999,13152.261,198.09099999999998
2020-09-26,Luxembourg,0.0,13152.261,198.09099999999998
2020-09-27,Luxembourg,0.0,13152.261,198.09099999999998
2020-09-28,Luxembourg,228.44299999999998,13380.705,198.09099999999998
2020-09-29,Luxembourg,87.863,13468.567,198.09099999999998
2020-09-30,Luxembourg,124.605,13593.173,198.09099999999998
2020-10-01,Luxembourg,137.385,13730.558,199.688
2020-10-02,Luxembourg,182.11599999999999,13912.673999999999,199.688
2020-10-03,Luxembourg,0.0,13912.673999999999,199.688
2020-10-04,Luxembourg,0.0,13912.673999999999,199.688
2020-10-05,Luxembourg,345.061,14257.735,202.88299999999998
2020-10-06,Luxembourg,86.265,14344.0,204.481
2020-10-07,Luxembourg,223.65099999999998,14567.651000000002,204.481
2020-10-08,Luxembourg,159.751,14727.402,206.078
2020-10-09,Luxembourg,225.248,14952.65,207.676
2020-10-10,Luxembourg,246.016,15198.666000000001,209.273
2020-10-11,Luxembourg,332.281,15530.947,210.87099999999998
2020-10-12,Luxembourg,14.378,15545.323999999999,212.468
2020-10-13,Luxembourg,174.128,15719.453000000001,212.468
2020-10-14,Luxembourg,303.526,16022.979,212.468
2020-10-15,Luxembourg,341.866,16364.845,212.468
2020-10-16,Luxembourg,362.634,16727.478,212.468
2020-10-17,Luxembourg,0.0,16727.478,212.468
2020-10-18,Luxembourg,666.16,17393.638,212.468
2020-10-19,Luxembourg,194.896,17588.534,215.66299999999998
2020-10-20,Luxembourg,369.024,17957.557,217.261
2020-10-21,Luxembourg,686.927,18644.485,220.456
2020-10-22,Luxembourg,1057.549,19702.033,223.65099999999998
2020-10-23,Luxembourg,827.508,20529.541,225.248
2020-10-24,Luxembourg,0.0,20529.541,225.248
2020-10-25,Luxembourg,0.0,20529.541,225.248
2020-10-26,Luxembourg,2472.938,23002.479,234.833
2020-10-27,Luxembourg,774.79,23777.269,234.833
2020-10-28,Luxembourg,1238.067,25015.336,234.833
2020-10-29,Luxembourg,1113.461,26128.797000000002,239.62599999999998
2020-10-30,Luxembourg,1242.859,27371.656000000003,242.821
2020-10-31,Luxembourg,0.0,27371.656000000003,242.821
2020-11-01,Luxembourg,0.0,27371.656000000003,242.821
2020-11-02,Luxembourg,3142.2929999999997,30513.949,255.601
2020-11-03,Luxembourg,851.47,31365.42,266.783
2020-11-04,Luxembourg,1134.229,32499.648999999998,273.173
2020-11-05,Luxembourg,1282.797,33782.445,282.758
2020-11-06,Luxembourg,1052.756,34835.201,287.551
2020-11-07,Luxembourg,0.0,34835.201,287.551
