date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-02-27,Netherlands,0.057999999999999996,0.057999999999999996,
2020-02-28,Netherlands,0.0,0.057999999999999996,
2020-02-29,Netherlands,0.292,0.35,
2020-03-01,Netherlands,0.233,0.584,
2020-03-02,Netherlands,0.467,1.05,
2020-03-03,Netherlands,0.35,1.401,
2020-03-04,Netherlands,0.8170000000000001,2.218,
2020-03-05,Netherlands,2.568,4.7860000000000005,
2020-03-06,Netherlands,2.685,7.47,0.057999999999999996
2020-03-07,Netherlands,3.502,10.972000000000001,0.057999999999999996
2020-03-08,Netherlands,4.494,15.466,0.175
2020-03-09,Netherlands,3.2680000000000002,18.734,0.175
2020-03-10,Netherlands,3.56,22.294,0.233
2020-03-11,Netherlands,7.062,29.355,0.292
2020-03-12,Netherlands,0.0,29.355,0.292
2020-03-13,Netherlands,17.683,47.038999999999994,0.584
2020-03-14,Netherlands,9.104,56.143,0.7
2020-03-15,Netherlands,10.270999999999999,66.414,1.167
2020-03-16,Netherlands,16.224,82.63799999999999,1.401
2020-03-17,Netherlands,17.215999999999998,99.855,2.51
2020-03-18,Netherlands,20.250999999999998,120.10600000000001,3.385
2020-03-19,Netherlands,23.869,143.975,4.494
2020-03-20,Netherlands,31.281,175.257,6.245
2020-03-21,Netherlands,37.176,212.43200000000002,7.995
2020-03-22,Netherlands,33.674,246.106,10.505
2020-03-23,Netherlands,31.923000000000002,278.029,12.489
2020-03-24,Netherlands,47.622,325.652,16.166
2020-03-25,Netherlands,50.073,375.725,20.835
2020-03-26,Netherlands,60.111000000000004,435.836,25.386999999999997
2020-03-27,Netherlands,68.807,504.64300000000003,31.923000000000002
2020-03-28,Netherlands,68.399,573.0419999999999,37.351
2020-03-29,Netherlands,64.839,637.88,45.053999999999995
2020-03-30,Netherlands,51.766000000000005,689.6460000000001,50.482
2020-03-31,Netherlands,49.606,739.253,60.695
2020-04-01,Netherlands,60.053000000000004,799.306,68.574
2020-04-02,Netherlands,63.73,863.035,78.26100000000001
2020-04-03,Netherlands,60.286,923.322,86.95700000000001
2020-04-04,Netherlands,52.875,976.196,96.645
2020-04-05,Netherlands,71.55,1047.746,103.35600000000001
2020-04-06,Netherlands,56.785,1104.531,109.368
2020-04-07,Netherlands,45.696000000000005,1150.2269999999999,123.024
2020-04-08,Netherlands,56.785,1207.012,131.60299999999998
2020-04-09,Netherlands,71.258,1278.27,140.24
2020-04-10,Netherlands,78.553,1356.8239999999998,147.06799999999998
2020-04-11,Netherlands,77.153,1433.976,154.83
2020-04-12,Netherlands,68.574,1502.55,160.316
2020-04-13,Netherlands,56.26,1558.809,165.335
2020-04-14,Netherlands,50.773999999999994,1609.5829999999999,172.455
2020-04-15,Netherlands,42.953,1652.536,183.544
2020-04-16,Netherlands,62.271,1714.807,194.165
2020-04-17,Netherlands,72.134,1786.941,202.56900000000002
2020-04-18,Netherlands,66.94,1853.88,210.857
2020-04-19,Netherlands,62.562,1916.443,215.75900000000001
2020-04-20,Netherlands,43.77,1960.213,219.669
2020-04-21,Netherlands,42.545,2002.7579999999998,229.298
2020-04-22,Netherlands,41.728,2044.486,237.41099999999997
2020-04-23,Netherlands,51.882,2096.368,244.64700000000002
2020-04-24,Netherlands,47.155,2143.5229999999997,251.18400000000003
2020-04-25,Netherlands,38.226,2181.749,258.187
2020-04-26,Netherlands,38.284,2220.034,262.097
2020-04-27,Netherlands,23.344,2243.3779999999997,264.607
2020-04-28,Netherlands,10.038,2253.416,267.408
2020-04-29,Netherlands,22.526999999999997,2275.9429999999998,275.87
2020-04-30,Netherlands,29.997,2305.9410000000003,280.772
2020-05-01,Netherlands,27.838,2333.779,286.492
2020-05-02,Netherlands,25.97,2359.749,291.978
2020-05-03,Netherlands,19.551,2379.3,296.005
2020-05-04,Netherlands,11.614,2390.9139999999998,297.522
2020-05-05,Netherlands,18.559,2409.472,302.599
2020-05-06,Netherlands,13.54,2423.012,304.7
2020-05-07,Netherlands,26.554000000000002,2449.5660000000003,309.661
2020-05-08,Netherlands,18.617,2468.183,313.80400000000003
2020-05-09,Netherlands,16.866,2485.049,317.54
2020-05-10,Netherlands,14.298,2499.347,318.59
2020-05-11,Netherlands,9.396,2508.743,319.524
2020-05-12,Netherlands,11.439,2520.1820000000002,322.675
2020-05-13,Netherlands,13.248,2533.43,325.71
2020-05-14,Netherlands,15.757,2549.187,327.344
2020-05-15,Netherlands,11.672,2560.859,330.43699999999995
2020-05-16,Netherlands,11.088,2571.948,332.01300000000003
2020-05-17,Netherlands,7.295,2579.243,332.597
2020-05-18,Netherlands,8.521,2587.764,333.414
2020-05-19,Netherlands,6.303,2594.0660000000003,334.639
2020-05-20,Netherlands,11.555,2605.6220000000003,336.565
2020-05-21,Netherlands,14.765,2620.387,338.14099999999996
2020-05-22,Netherlands,10.972000000000001,2631.3590000000004,338.9
2020-05-23,Netherlands,10.33,2641.6890000000003,340.24199999999996
2020-05-24,Netherlands,10.038,2651.7270000000003,340.884
2020-05-25,Netherlands,12.255999999999998,2663.982,341.351
2020-05-26,Netherlands,7.7620000000000005,2671.744,342.86800000000005
2020-05-27,Netherlands,11.088,2682.833,343.74300000000005
2020-05-28,Netherlands,10.622,2693.454,345.611
2020-05-29,Netherlands,10.270999999999999,2703.7259999999997,347.245
2020-05-30,Netherlands,7.704,2711.429,348.412
2020-05-31,Netherlands,10.797,2722.2259999999997,348.704
2020-06-01,Netherlands,6.069,2728.296,349.05400000000003
2020-06-02,Netherlands,6.011,2734.3070000000002,349.346
