date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million
2020-03-04,Poland,0.026000000000000002,0.026000000000000002,
2020-03-05,Poland,0.0,0.026000000000000002,
2020-03-06,Poland,0.106,0.132,
2020-03-07,Poland,0.0,0.132,
2020-03-08,Poland,0.159,0.29100000000000004,
2020-03-09,Poland,0.132,0.423,
2020-03-10,Poland,0.159,0.581,
2020-03-11,Poland,0.23800000000000002,0.8190000000000001,
2020-03-12,Poland,0.47600000000000003,1.295,0.026000000000000002
2020-03-13,Poland,0.502,1.797,0.053
2020-03-14,Poland,0.925,2.722,0.079
2020-03-15,Poland,0.423,3.1439999999999997,0.079
2020-03-16,Poland,1.5330000000000001,4.677,0.106
2020-03-17,Poland,1.6119999999999999,6.289,0.132
2020-03-18,Poland,0.34299999999999997,6.632000000000001,0.132
2020-03-19,Poland,2.748,9.38,0.132
2020-03-20,Poland,1.85,11.23,0.132
2020-03-21,Poland,2.9330000000000003,14.162,0.132
2020-03-22,Poland,2.589,16.752,0.185
2020-03-23,Poland,3.0389999999999997,19.79,0.21100000000000002
2020-03-24,Poland,4.016,23.807,0.264
2020-03-25,Poland,3.963,27.77,0.37
2020-03-26,Poland,4.492,32.262,0.423
2020-03-27,Poland,4.439,36.701,0.423
2020-03-28,Poland,6.579,43.28,0.47600000000000003
2020-03-29,Poland,5.919,49.199,0.581
2020-03-30,Poland,5.1,54.298,0.8190000000000001
2020-03-31,Poland,6.763999999999999,61.062,0.872
2020-04-01,Poland,6.421,67.483,1.136
2020-04-02,Poland,10.357999999999999,77.84100000000001,1.506
2020-04-03,Poland,11.547,89.387,1.876
2020-04-04,Poland,6.447,95.834,2.0869999999999997
2020-04-05,Poland,12.550999999999998,108.385,2.484
2020-04-06,Poland,8.217,116.602,2.827
2020-04-07,Poland,11.494000000000002,128.096,3.408
2020-04-08,Poland,9.433,137.529,4.2010000000000005
2020-04-09,Poland,9.776,147.305,4.598
2020-04-10,Poland,10.041,157.346,4.782
2020-04-11,Poland,10.595,167.94099999999997,5.496
2020-04-12,Poland,8.402000000000001,176.343,6.13
2020-04-13,Poland,6.87,183.213,6.474
2020-04-14,Poland,7.081,190.294,6.949
2020-04-15,Poland,10.041,200.335,7.557
2020-04-16,Poland,8.878,209.213,8.297
2020-04-17,Poland,12.181,221.394,8.772
2020-04-18,Poland,9.591000000000001,230.985,9.169
2020-04-19,Poland,14.4,245.385,9.512
2020-04-20,Poland,8.085,253.47099999999998,10.041
2020-04-21,Poland,6.949,260.42,10.595
2020-04-22,Poland,8.27,268.69,11.255999999999998
2020-04-23,Poland,9.036,277.726,11.995999999999999
2020-04-24,Poland,10.067,287.793,13.052999999999999
2020-04-25,Poland,10.067,297.86,13.845
2020-04-26,Poland,9.089,306.95,14.136
2020-04-27,Poland,7.53,314.48,14.849
2020-04-28,Poland,8.349,322.829,15.748
2020-04-29,Poland,11.15,333.98,16.488
2020-04-30,Poland,6.2620000000000005,340.24199999999996,17.016
2020-05-01,Poland,6.024,346.26599999999996,17.201
2020-05-02,Poland,7.1339999999999995,353.4,17.545
2020-05-03,Poland,8.402000000000001,361.80300000000005,17.914
2020-05-04,Poland,8.27,370.07300000000004,18.442999999999998
2020-05-05,Poland,11.23,381.30199999999996,18.918
2020-05-06,Poland,8.165,389.467,19.368
2020-05-07,Poland,8.112,397.579,19.949
