date,location,new_cases_per_million,total_cases_per_million,total_deaths_per_million,total_vaccinations_per_hundred
2020-02-25,Switzerland,0.11599999999999999,0.11599999999999999,,
2020-02-26,Switzerland,0.0,0.11599999999999999,,
2020-02-27,Switzerland,0.809,0.924,,
2020-02-28,Switzerland,0.0,0.924,,
2020-02-29,Switzerland,1.155,2.08,,
2020-03-01,Switzerland,1.04,3.12,,
2020-03-02,Switzerland,1.733,4.853,,
2020-03-03,Switzerland,1.618,6.471,,
2020-03-04,Switzerland,3.929,10.399000000000001,,
2020-03-05,Switzerland,2.773,13.172,0.11599999999999999,
2020-03-06,Switzerland,11.555,24.726999999999997,0.11599999999999999,
2020-03-07,Switzerland,6.239,30.965999999999998,0.11599999999999999,
2020-03-08,Switzerland,7.973,38.939,0.231,
2020-03-09,Switzerland,4.275,43.214,0.231,
2020-03-10,Switzerland,13.519,56.733000000000004,0.34700000000000003,
2020-03-11,Switzerland,18.602999999999998,75.336,0.462,
2020-03-12,Switzerland,0.0,75.336,0.462,
2020-03-13,Switzerland,56.271,131.606,1.271,
2020-03-14,Switzerland,25.42,157.026,1.5019999999999998,
2020-03-15,Switzerland,97.17399999999999,254.2,1.618,
2020-03-16,Switzerland,0.0,254.2,1.618,
2020-03-17,Switzerland,57.773,311.972,3.12,
2020-03-18,Switzerland,37.899,349.871,3.235,
2020-03-19,Switzerland,120.976,470.847,4.737,
2020-03-20,Switzerland,140.85,611.697,6.239,
2020-03-21,Switzerland,148.013,759.71,8.666,
2020-03-22,Switzerland,103.875,863.585,11.323,
2020-03-23,Switzerland,152.635,1016.22,13.865,
2020-03-24,Switzerland,125.02,1141.24,14.097000000000001,
2020-03-25,Switzerland,117.85600000000001,1259.097,17.678,
2020-03-26,Switzerland,105.60799999999999,1364.705,22.069000000000003,
2020-03-27,Switzerland,129.064,1493.769,26.691,
2020-03-28,Switzerland,132.64600000000002,1626.415,30.504,
2020-03-29,Switzerland,87.006,1713.421,34.664,
2020-03-30,Switzerland,126.291,1839.711,41.481,
2020-03-31,Switzerland,78.917,1918.629,50.031000000000006,
2020-04-01,Switzerland,134.379,2053.008,56.386,
2020-04-02,Switzerland,122.36200000000001,2175.37,61.931999999999995,
2020-04-03,Switzerland,90.01,2265.38,68.28699999999999,
2020-04-04,Switzerland,103.875,2369.255,76.953,
2020-04-05,Switzerland,68.749,2438.005,82.615,
2020-04-06,Switzerland,64.359,2502.363,88.39200000000001,
2020-04-07,Switzerland,68.865,2571.228,94.863,
2020-04-08,Switzerland,118.665,2689.893,103.413,
2020-04-09,Switzerland,89.085,2778.9790000000003,109.537,
2020-04-10,Switzerland,57.773,2836.7509999999997,115.77600000000001,
2020-04-11,Switzerland,64.243,2900.995,119.705,
2020-04-12,Switzerland,35.588,2936.583,127.79299999999999,
2020-04-13,Switzerland,31.544,2968.1259999999997,131.49,
2020-04-14,Switzerland,28.655,2996.782,135.65,
2020-04-15,Switzerland,46.218,3043.0,143.161,
2020-04-16,Switzerland,45.756,3088.756,148.013,
2020-04-17,Switzerland,39.979,3128.7340000000004,153.329,
2020-04-18,Switzerland,37.668,3166.402,158.066,
2020-04-19,Switzerland,38.823,3205.225,160.955,
2020-04-20,Switzerland,23.570999999999998,3228.796,165.114,
2020-04-21,Switzerland,13.75,3242.546,170.77599999999998,
2020-04-22,Switzerland,23.686999999999998,3266.2329999999997,174.358,
2020-04-23,Switzerland,26.344,3292.577,178.98,
2020-04-24,Switzerland,20.914,3313.491,183.601,
2020-04-25,Switzerland,25.073,3338.5640000000003,184.757,
2020-04-26,Switzerland,19.296,3357.861,186.028,
2020-04-27,Switzerland,11.901,3369.762,192.38299999999998,
2020-04-28,Switzerland,11.555,3381.316,196.31099999999998,
2020-04-29,Switzerland,16.523,3397.8390000000004,198.27599999999998,
2020-04-30,Switzerland,20.683000000000003,3418.522,200.702,
2020-05-01,Switzerland,13.75,3432.272,202.666,
